TP2,TP3,H1,DV_pressure,Reservoirs,Oil_temperature,Motor_current,COMP,DV_eletric,Towers,MPG
9.952,9.63,-0.0120000000000004,-0.0240000000000009,9.63,31.974999999999994,6.274999999999999,0.0,1.0,0.0,0.0
10.164,9.848,-0.0120000000000004,-0.0240000000000009,9.848,32.675,6.2425,0.0,1.0,0.0,0.0
10.372,10.058,-0.0120000000000004,-0.0259999999999998,10.058,33.275000000000006,6.262499999999999,0.0,1.0,0.0,0.0
-0.0259999999999998,10.078,10.076,-0.0240000000000009,10.08,33.92500000000001,4.0,1.0,0.0,1.0,1.0
-0.0240000000000009,10.028,10.024,-0.0240000000000009,10.028,35.0,3.9625,1.0,0.0,1.0,1.0
-0.0219999999999984,9.99,9.984,-0.0240000000000009,9.99,36.650000000000006,3.9475,1.0,0.0,1.0,1.0
-0.0199999999999995,9.96,9.952,-0.0240000000000009,9.96,37.8,3.9175,1.0,0.0,1.0,1.0
-0.0180000000000006,9.934,9.924,-0.0240000000000009,9.936,38.725,3.945,1.0,0.0,1.0,1.0
-0.0159999999999982,9.914,9.902,-0.0240000000000009,9.914,39.525000000000006,3.9375,1.0,0.0,1.0,1.0
-0.0159999999999982,9.892,9.88,-0.0240000000000009,9.892,40.17500000000001,3.895,1.0,0.0,1.0,1.0
-0.0159999999999982,9.876,9.864,-0.0240000000000009,9.876,40.60000000000001,3.9025,1.0,0.0,1.0,1.0
-0.0139999999999993,9.86,9.846,-0.0240000000000009,9.862,41.14999999999999,3.955,1.0,0.0,1.0,1.0
-0.0139999999999993,9.846,9.832,-0.0259999999999998,9.846,41.525000000000006,3.9475,1.0,0.0,1.0,1.0
-0.0139999999999993,9.832,9.818,-0.0240000000000009,9.832,41.925,3.8925,1.0,0.0,1.0,1.0
-0.0139999999999993,9.82,9.806,-0.0240000000000009,9.82,42.25,3.94,1.0,0.0,1.0,1.0
-0.0120000000000004,9.808,9.792,-0.0240000000000009,9.808,42.325,3.9625,1.0,0.0,1.0,1.0
-0.0120000000000004,9.796,9.78,-0.0259999999999998,9.796,42.05,3.8000000000000007,1.0,0.0,1.0,1.0
-0.0120000000000004,9.786,9.77,-0.0240000000000009,9.786,41.85,3.844999999999999,1.0,0.0,1.0,1.0
-0.0120000000000004,9.774,9.76,-0.0240000000000009,9.776,41.57499999999999,3.8425,1.0,0.0,1.0,1.0
-0.0120000000000004,9.764,9.75,-0.0240000000000009,9.766,41.175,3.8225,1.0,0.0,1.0,1.0
-0.0139999999999993,9.752,9.736,-0.0259999999999998,9.754,40.85,3.8225,1.0,0.0,1.0,1.0
-0.0120000000000004,9.67,9.654,-0.0259999999999998,9.672,40.675,3.9075000000000006,1.0,0.0,1.0,1.0
-0.0120000000000004,9.664,9.648,-0.0240000000000009,9.664,40.575,3.8225,1.0,0.0,1.0,1.0
-0.0120000000000004,9.654,9.64,-0.0240000000000009,9.656,40.47500000000001,3.782499999999999,1.0,0.0,1.0,1.0
-0.0120000000000004,9.646,9.63,-0.0240000000000009,9.646,40.400000000000006,4.01,1.0,0.0,1.0,1.0
-0.0120000000000004,9.638,9.622,-0.0240000000000009,9.64,40.425,3.84,1.0,0.0,1.0,1.0
-0.0120000000000004,9.63,9.614,-0.0240000000000009,9.63,40.35,3.9075000000000006,1.0,0.0,1.0,1.0
-0.0120000000000004,9.62,9.604,-0.0240000000000009,9.62,40.35,3.924999999999999,1.0,0.0,1.0,1.0
-0.0120000000000004,9.614,9.598,-0.0240000000000009,9.614,40.47500000000001,3.78,1.0,0.0,1.0,1.0
-0.0139999999999993,9.606,9.59,-0.0240000000000009,9.604,40.45,3.8225,1.0,0.0,1.0,1.0
-0.0120000000000004,9.594,9.58,-0.0240000000000009,9.596,40.625,3.997500000000001,1.0,0.0,1.0,1.0
-0.0120000000000004,9.588,9.572,-0.0240000000000009,9.588,40.64999999999999,3.9925,1.0,0.0,1.0,1.0
-0.0120000000000004,9.578,9.562,-0.0259999999999998,9.58,40.85,3.9025,1.0,0.0,1.0,1.0
-0.0139999999999993,9.57,9.554,-0.0259999999999998,9.57,41.0,4.004999999999999,1.0,0.0,1.0,1.0
-0.0120000000000004,9.562,9.546,-0.0240000000000009,9.562,40.975,3.7775,1.0,0.0,1.0,1.0
